"","period","group","parameter","0.1","0.5","0.9"
"68","2010, 2015","EUR","percent_change_in_mmr",14.8888727856694,19.2347771924494,23.2308751445536
"69","2010, 2015","SEAR","arr",4.36914496496999,5.73391265731708,7.3436152042009
"70","2010, 2015","SEAR","percent_change_in_mmr",19.6242159234308,24.9259804660307,30.7315576033831
"71","2010, 2015","WPR","arr",1.88272688652766,3.19491821047045,4.50732723740657
"72","2010, 2015","WPR","percent_change_in_mmr",8.98413411864885,14.7639662584704,20.1776272687798
"73","2015, 2020","AFR","arr",-0.245298307222407,1.80904504453395,3.17453365949216
"74","2015, 2020","AFR","percent_change_in_mmr",-1.23404579762621,8.64820483740431,14.6770470740078
"75","2015, 2020","AMR","arr",-4.75850062627966,-3.07472089241775,-1.59790876092793
"76","2015, 2020","AMR","percent_change_in_mmr",-26.8614083168924,-16.6183025868386,-8.31738030312677
"77","2015, 2020","EMR","arr",-0.389024763338113,1.99028920707329,3.87437742269857
"78","2015, 2020","EMR","percent_change_in_mmr",-1.96416476073631,9.47231397777619,17.6110506591674
"79","2015, 2020","EUR","arr",-2.88225376115834,-1.11634059440176,0.582266503603219
"80","2015, 2020","EUR","percent_change_in_mmr",-15.5014264208513,-5.7404192498714,2.86936152416738
"81","2015, 2020","SEAR","arr",3.05062073366168,4.54096467939566,6.30627908831627
"82","2015, 2020","SEAR","percent_change_in_mmr",14.1467752418563,20.3117655414328,27.0440208476323
"83","2015, 2020","WPR","arr",-3.04594379927226,-1.08459322212627,0.430474473821388
"84","2015, 2020","WPR","percent_change_in_mmr",-16.4506265224266,-5.57270339107732,2.12937409193399
"85","2016, 2020","AFR","arr",-0.24667334145795,1.86105309504356,3.30466248041848
"86","2016, 2020","AFR","percent_change_in_mmr",-0.991577234925741,7.17388020262687,12.3822426499401
"87","2016, 2020","AMR","arr",-5.51717546076142,-3.51247133173814,-1.78522978266398
"88","2016, 2020","AMR","percent_change_in_mmr",-24.6933102447145,-15.0847760096106,-7.40206159399756
"89","2016, 2020","EMR","arr",-0.207241505058269,2.29254165080009,4.30095793878632
"90","2016, 2020","EMR","percent_change_in_mmr",-0.832411473341922,8.76226978994302,15.8053088783789
"91","2016, 2020","EUR","arr",-4.49806702230327,-2.51598071152308,-0.620996084673769
"92","2016, 2020","EUR","percent_change_in_mmr",-19.7124799572823,-10.5877600649099,-2.5150928016194
"93","2016, 2020","SEAR","arr",3.03282771051337,4.5726148868447,6.48140538691727
"94","2016, 2020","SEAR","percent_change_in_mmr",11.4243421631325,16.7152390618758,22.8374703973174
"95","2016, 2020","WPR","arr",-4.96129530884465,-2.85305093539866,-1.20850150751635
"96","2016, 2020","WPR","percent_change_in_mmr",-21.9513260896082,-12.0888907802638,-4.95274974420702
