"period","iso_alpha_3_code","parameter","0.1","0.5","0.9","estimate_version"
"2015, 2020","AUS","percent_change_in_mmr",33.3029781921623,43.9915635549898,55.0080474194664,"estimates_12-19-22"
"2016, 2020","AUS","arr",10.2538878077859,14.0552218975461,19.0588697869043,"estimates_12-19-22"
"2016, 2020","AUS","percent_change_in_mmr",33.6452947608974,43.0051273503177,53.3433534066887,"estimates_12-19-22"
"2000, 2015","AUT","arr",-1.97377783412338,0.745883321698268,2.97756425492461,"estimates_12-19-22"
"2000, 2015","AUT","percent_change_in_mmr",-34.45598307575,10.5850684512885,36.0222381514418,"estimates_12-19-22"
"2000, 2020","AUT","arr",-1.63180880342141,0.90339470610183,3.08457064318235,"estimates_12-19-22"
"2000, 2020","AUT","percent_change_in_mmr",-38.5916685108249,16.5296695469749,46.0392970971402,"estimates_12-19-22"
"2010, 2020","AUT","arr",-2.76032037475347,1.55742108889497,4.06631818204678,"estimates_12-19-22"
"2010, 2020","AUT","percent_change_in_mmr",-31.7890085354882,14.4220138549898,33.4110683860154,"estimates_12-19-22"
"2000, 2005","AUT","arr",-1.7163385504921,1.87290044890768,4.32019788555816,"estimates_12-19-22"
"2000, 2005","AUT","percent_change_in_mmr",-8.96068351346849,8.93940504280517,19.4272670042275,"estimates_12-19-22"
"2005, 2010","AUT","arr",-4.34234129732764,-0.191723680847496,2.35719098556614,"estimates_12-19-22"
"2005, 2010","AUT","percent_change_in_mmr",-24.2489546126712,-0.963227891820618,11.1179120588764,"estimates_12-19-22"
"2010, 2015","AUT","arr",-3.78357897683826,1.2275594946005,4.44376431020852,"estimates_12-19-22"
"2010, 2015","AUT","percent_change_in_mmr",-20.8257149846925,5.95322992603567,19.923536617249,"estimates_12-19-22"
"2015, 2020","AUT","arr",-3.11124218108135,1.95009200762941,4.86740646064601,"estimates_12-19-22"
"2015, 2020","AUT","percent_change_in_mmr",-16.8314519912823,9.29018243746065,21.6018865208858,"estimates_12-19-22"
"2016, 2020","AUT","arr",-4.56900767305736,0.854297254724279,4.00325231878302,"estimates_12-19-22"
"2016, 2020","AUT","percent_change_in_mmr",-20.0526659281628,3.35946229563568,14.7967057045176,"estimates_12-19-22"
"2000, 2015","AZE","arr",2.01692042106468,4.29773982175799,6.67732013726983,"estimates_12-19-22"
"2000, 2015","AZE","percent_change_in_mmr",26.1059616828863,47.5159553070839,63.2707967241135,"estimates_12-19-22"
"2000, 2020","AZE","arr",-1.02326364907201,1.57622763583658,4.23859005841396,"estimates_12-19-22"
"2000, 2020","AZE","percent_change_in_mmr",-22.7098901768048,27.0390285395513,57.1608569427676,"estimates_12-19-22"
"2010, 2020","AZE","arr",-5.96630207301028,-2.22877653720087,1.65232424113418,"estimates_12-19-22"
"2010, 2020","AZE","percent_change_in_mmr",-81.5988976038714,-24.9667673574449,15.2303232059371,"estimates_12-19-22"
"2000, 2005","AZE","arr",2.12836395471048,4.61965377459494,7.76811649386869,"estimates_12-19-22"
"2000, 2005","AZE","percent_change_in_mmr",10.0951410620184,20.6246789549949,32.1862913025433,"estimates_12-19-22"
"2005, 2010","AZE","arr",2.51253541728101,6.04036106663663,9.00888634224445,"estimates_12-19-22"
"2005, 2010","AZE","percent_change_in_mmr",11.8056045844322,26.0675282450584,36.2655093924107,"estimates_12-19-22"
"2010, 2015","AZE","arr",-1.06900307596419,2.34900136463518,5.59124091201002,"estimates_12-19-22"
"2010, 2015","AZE","percent_change_in_mmr",-5.49044583163232,11.0815090753999,24.3885186178279,"estimates_12-19-22"
"2015, 2020","AZE","arr",-11.4933706468704,-6.73187686535735,-1.70783478798011,"estimates_12-19-22"
"2015, 2020","AZE","percent_change_in_mmr",-77.6541586267365,-40.0170261532659,-8.91436440861524,"estimates_12-19-22"
"2016, 2020","AZE","arr",-16.5681432721507,-11.3612300133183,-5.82068288389993,"estimates_12-19-22"
"2016, 2020","AZE","percent_change_in_mmr",-94.0073402770456,-57.5305466652665,-26.2163527553505,"estimates_12-19-22"
"2000, 2015","BHS","arr",-5.12760533921939,-2.10407512422851,0.196456458075399,"estimates_12-19-22"
"2000, 2015","BHS","percent_change_in_mmr",-115.791138921065,-37.1097163873178,2.9038507089324,"estimates_12-19-22"
"2000, 2020","BHS","arr",-4.02372628731597,-1.11634478969179,0.880501813224794,"estimates_12-19-22"
"2000, 2020","BHS","percent_change_in_mmr",-123.6126806721,-25.0156861514317,16.1466129307795,"estimates_12-19-22"
"2010, 2020","BHS","arr",-3.62565723766962,0.161702649010081,3.4963711991985,"estimates_12-19-22"
"2010, 2020","BHS","percent_change_in_mmr",-43.7011668437814,1.60402278529091,29.5056145711074,"estimates_12-19-22"
"2000, 2005","BHS","arr",-8.43042298013747,-3.74994475276024,-0.652307703018737,"estimates_12-19-22"
"2000, 2005","BHS","percent_change_in_mmr",-52.42784579521,-20.6226917391786,-3.31530976388477,"estimates_12-19-22"
"2005, 2010","BHS","arr",-5.2429037410826,-0.872119469967904,2.10491546027392,"estimates_12-19-22"
"2005, 2010","BHS","percent_change_in_mmr",-29.9715232215114,-4.45706853481683,9.9896725384089,"estimates_12-19-22"
"2010, 2015","BHS","arr",-5.64274415352367,-1.204019452989,2.23977440117211,"estimates_12-19-22"
"2010, 2015","BHS","percent_change_in_mmr",-32.5960647030115,-6.20499687145506,10.5945656975093,"estimates_12-19-22"
"2015, 2020","BHS","arr",-3.04649083179761,1.54792331039639,5.84624743301792,"estimates_12-19-22"
"2015, 2020","BHS","percent_change_in_mmr",-16.4538131665281,7.44768786308591,25.3464681945932,"estimates_12-19-22"
"2016, 2020","BHS","arr",-4.29028356568812,0.526649964892137,4.98826835247567,"estimates_12-19-22"
"2016, 2020","BHS","percent_change_in_mmr",-18.7216331109208,2.08456596697246,18.0884944214247,"estimates_12-19-22"
"2000, 2015","BHR","arr",1.50389320105272,2.97516176490689,4.21667501823805,"estimates_12-19-22"
"2000, 2015","BHR","percent_change_in_mmr",20.1949962623179,35.9991783580161,46.8738677056217,"estimates_12-19-22"
"2000, 2020","BHR","arr",1.0524206463062,2.08306754084309,3.3176022231365,"estimates_12-19-22"
